loan_id,borrower_id,loan_type,origination_date,maturity_date,original_principal,current_balance,interest_rate,term_months,borrower_state,loan_purpose,credit_grade,employment_length,income_band,payment_status,days_past_due,servicer_name,last_payment_date,last_updated_at,document_status,source_system
LN-1018,BW-3018,ARM,2020-11-01,2050-11-01,182186,124592,4.825,360,IL,DebtConsolidation,HR,1-3 years,$0-$50k,Late (30-59 days),39,Apex Servicing,2026-08-10,2026-08-27,,OriginationSystem
LN-1019,BW-3019,VA,2022-07-27,2052-07-27,479006,257547,8.974,360,OH,Refinance,HR,3-5 years,$100k-$150k,Late (30-59 days),25,Summit Mortgage,2026-08-16,2026-08-27,,OriginationSystem
LN-1020,BW-3020,ARM,05/15/2022,2036-03-10,123307,90463,4.825,180,GA,Purchase,F,< 1 year,$0-$50k,Current,0,Apex Servicing,2026-08-05,2026-08-27,,OriginationSystem
LN-1021,BW-3021,Fixed,2023-03-21,2038-03-21,369886,316056,5.332,180,GA,Purchase,HR,< 1 year,$50k-$100k,Late (60-89 days),31,Summit Mortgage,2026-08-11,2026-08-27,,OriginationSystem
LN-1022,BW-3022,Fixed,2023-08-12,2053-08-12,101100,87163,5.596,360,OH,DebtConsolidation,B,3-5 years,$100k-$150k,Late (30-59 days),37,Apex Servicing,2026-08-13,2026-08-27,,OriginationSystem
LN-1023,BW-3023,ARM,2021-09-25,2051-09-25,350546,348160,6.475,360,PA,DebtConsolidation,D,< 1 year,$150k+,Grace Period,36,Summit Mortgage,2026-08-16,2026-08-27,,OriginationSystem
LN-1024,BW-3024,ARM,2022-05-26,2037-05-26,495777,410240,3.765,180,IL,Refinance,F,3-5 years,$50k-$100k,Late (60-89 days),34,Apex Servicing,2026-08-24,2026-08-27,,OriginationSystem
LN-1025,BW-3025,Fixed,2020-07-17,2019-01-01,240883,199869,7.674,360,PA,Purchase,B,< 1 year,$150k+,Grace Period,41,Summit Mortgage,2026-07-31,2026-08-27,,OriginationSystem
LN-1026,BW-3026,Fixed,2021-08-20,2051-08-20,173763,133101,6.812,360,NY,Refinance,E,5+ years,$150k+,Current,0,Apex Servicing,2026-08-25,2026-08-27,,OriginationSystem
LN-1027,BW-3027,ARM,2022-12-24,2052-12-24,308398,179933,4.787,360,NC,Purchase,F,5+ years,$50k-$100k,Current,0,Summit Mortgage,2026-08-04,2026-08-27,,OriginationSystem
LN-1028,BW-3028,VA,2023-02-09,2053-02-09,183202,177673,4.417,360,GA,DebtConsolidation,A,1-3 years,$0-$50k,Grace Period,2,Apex Servicing,2026-08-16,2026-08-27,,OriginationSystem
LN-1029,BW-3029,Fixed,2023-02-15,2038-02-15,229875,119899,8.357,180,FL,Purchase,B,5+ years,$150k+,Late (30-59 days),0,Summit Mortgage,2026-08-25,2026-08-27,,OriginationSystem
LN-1030,BW-3030,VA,2020-11-06,2050-11-06,-5000,322204,9.121,360,OH,Refinance,D,1-3 years,$0-$50k,Current,0,Apex Servicing,2026-08-14,2026-08-27,,OriginationSystem
LN-1031,BW-3031,Fixed,2021-09-24,2051-09-24,263649,212489,9.255,360,PA,Refinance,HR,5+ years,$100k-$150k,Late (30-59 days),9,Summit Mortgage,2026-08-14,2026-08-27,,OriginationSystem
LN-1032,BW-3032,FHA,2020-02-12,2050-02-12,299382,173724,8.545,360,CA,Purchase,C,3-5 years,$0-$50k,Current,0,Apex Servicing,2026-08-23,2026-08-27,,OriginationSystem
LN-1033,BW-3033,FHA,2024-11-30,2054-11-30,279554,172726,7.570,360,PA,Refinance,F,3-5 years,$100k-$150k,Current,0,Summit Mortgage,2026-08-23,2026-08-27,,OriginationSystem
LN-1034,BW-3034,FHA,2021-11-07,2036-11-07,178008,168531,4.432,180,CA,DebtConsolidation,HR,< 1 year,$100k-$150k,Grace Period,0,Apex Servicing,2026-08-25,2026-08-27,,OriginationSystem
LN-1035,BW-3035,Fixed,2022-06-15,2052-06-15,150928,200928,9.398,360,FL,DebtConsolidation,HR,5+ years,$150k+,Current,0,Summit Mortgage,2026-08-15,2026-08-27,,OriginationSystem
LN-1036,BW-3036,FHA,2021-04-14,2051-04-14,346418,275823,4.035,360,FL,Purchase,F,5+ years,$0-$50k,Late (30-59 days),43,Apex Servicing,2026-08-04,2026-08-27,,OriginationSystem
LN-1037,BW-3037,Fixed,2020-09-09,2050-09-09,259837,197260,4.140,360,CA,Purchase,C,< 1 year,$150k+,Current,0,Summit Mortgage,2026-08-24,2026-08-27,,OriginationSystem
LN-1038,BW-3038,ARM,2024-11-04,2054-11-04,294594,213782,6.823,360,TX,Refinance,C,3-5 years,$100k-$150k,Late (60-89 days),20,Apex Servicing,2026-07-31,2026-08-27,,OriginationSystem
LN-1039,BW-3039,Fixed,2023-09-01,2038-09-01,261296,248392,6.132,180,FL,DebtConsolidation,F,1-3 years,$0-$50k,Grace Period,14,Summit Mortgage,2026-08-20,2026-08-27,,OriginationSystem
LN-1040,BW-3040,FHA,2024-09-20,2054-09-20,496179,470188,24.500,360,OH,DebtConsolidation,B,1-3 years,$150k+,Late (30-59 days),1,Apex Servicing,2026-08-05,2026-08-27,,OriginationSystem
LN-1041,BW-3041,FHA,2020-06-15,2050-06-15,238470,161901,4.603,360,PA,Refinance,F,1-3 years,$100k-$150k,Late (60-89 days),26,Summit Mortgage,2026-08-17,2026-08-27,,OriginationSystem
LN-1042,BW-3042,ARM,2020-08-13,2050-08-13,465528,413541,8.422,360,FL,Refinance,E,3-5 years,$0-$50k,Current,0,Apex Servicing,2026-08-10,2026-08-27,,OriginationSystem
LN-1043,BW-3043,FHA,2024-07-03,2054-07-03,446574,333510,8.763,360,OH,Purchase,E,1-3 years,$150k+,Current,0,Summit Mortgage,2026-08-16,2026-08-27,,OriginationSystem
LN-1044,BW-3044,ARM,2020-02-18,2050-02-18,183329,182638,6.958,360,CA,DebtConsolidation,D,1-3 years,$100k-$150k,Current,0,Apex Servicing,2026-08-19,2026-08-27,,OriginationSystem
LN-1045,BW-3045,FHA,2021-12-03,2051-12-03,238079,121174,6.048,360,OH,Refinance,A,< 1 year,$150k+,Current,75,Summit Mortgage,2026-08-01,2026-08-27,,OriginationSystem
LN-1046,BW-3046,VA,2024-10-18,2039-10-18,450996,379713,4.838,180,PA,Refinance,B,< 1 year,$50k-$100k,Late (30-59 days),27,Apex Servicing,2026-08-22,2026-08-27,,OriginationSystem
LN-1047,BW-3047,VA,2024-03-20,2039-03-20,399684,388384,9.391,180,FL,Refinance,F,< 1 year,$50k-$100k,Grace Period,35,Summit Mortgage,2026-08-12,2026-08-27,,OriginationSystem
LN-1048,BW-3048,Fixed,2023-02-03,2053-02-03,314832,276881,3.533,360,CA,Purchase,A,< 1 year,$150k+,Grace Period,9,Apex Servicing,2026-08-09,2026-08-27,,OriginationSystem
LN-1049,BW-3049,Fixed,2021-09-21,2051-09-21,261525,226685,6.274,360,FL,Purchase,D,3-5 years,$50k-$100k,Late (30-59 days),14,Summit Mortgage,2026-08-10,2026-08-27,,OriginationSystem
LN-1050,BW-3050,FHA,2023-01-17,2053-01-17,222560,182388,9.436,360,CA,Refinance,C,3-5 years,$0-$50k,Grace Period,20,Apex Servicing,2026-08-01,2026-08-27,,OriginationSystem
LN-1051,BW-3051,VA,2024-10-13,2039-10-13,142835,90272,5.948,180,PA,Refinance,D,1-3 years,$50k-$100k,Grace Period,43,Summit Mortgage,2026-08-14,2026-08-27,,OriginationSystem
LN-1052,BW-3052,Fixed,2023-10-15,2053-10-15,462872,443036,5.090,360,FL,Purchase,C,1-3 years,$150k+,Current,0,Apex Servicing,2026-08-20,2026-08-27,,OriginationSystem
LN-1053,BW-3053,ARM,2024-08-27,2054-08-27,369240,253996,6.929,360,PA,DebtConsolidation,F,< 1 year,$150k+,Grace Period,39,Summit Mortgage,2026-08-21,2026-08-27,,OriginationSystem
LN-1054,BW-3054,Fixed,2021-01-02,2051-01-02,338075,246506,6.704,360,TX,DebtConsolidation,C,5+ years,$0-$50k,Current,0,Apex Servicing,2026-08-25,2026-08-27,,OriginationSystem
LN-1055,BW-3055,VA,2022-04-25,2052-04-25,400555,358613,5.657,360,TX,Purchase,E,5+ years,$0-$50k,Current,0,Summit Mortgage,2026-08-11,2020-01-01,,OriginationSystem
LN-1056,BW-3056,ARM,2021-07-08,2051-07-08,356411,263312,4.383,360,NY,Refinance,C,1-3 years,$150k+,Late (30-59 days),6,Apex Servicing,2026-08-06,2026-08-27,,OriginationSystem
LN-1057,BW-3057,FHA,2022-11-07,2052-11-07,495839,418257,5.798,360,CA,DebtConsolidation,C,1-3 years,$0-$50k,Current,0,Summit Mortgage,2026-08-12,2026-08-27,,OriginationSystem
LN-1058,BW-3058,FHA,2023-03-06,2053-03-06,153085,140427,5.906,360,FL,Refinance,B,< 1 year,$0-$50k,Late (60-89 days),10,Apex Servicing,2026-08-21,2026-08-27,,OriginationSystem
LN-1059,BW-3059,Fixed,2021-07-21,2036-07-21,406143,359126,8.741,180,TX,Refinance,F,3-5 years,$100k-$150k,Grace Period,19,Summit Mortgage,2026-08-20,2026-08-27,,OriginationSystem
LN-1060,BW-3060,FHA,2023-01-10,2038-01-10,109294,98555,7.997,180,XX,DebtConsolidation,HR,< 1 year,$150k+,Grace Period,30,Apex Servicing,2026-08-27,2026-08-27,,OriginationSystem
LN-1061,BW-3061,VA,2024-07-31,2054-07-31,425361,281858,5.707,360,TX,Refinance,D,5+ years,$150k+,Current,0,Summit Mortgage,2026-08-17,2026-08-27,,OriginationSystem
LN-1062,BW-3062,ARM,2024-08-17,2054-08-17,468062,236108,4.651,360,FL,DebtConsolidation,C,5+ years,$50k-$100k,Late (30-59 days),36,Apex Servicing,2026-08-24,2026-08-27,,OriginationSystem
LN-1063,BW-3063,ARM,2021-01-04,2051-01-04,364281,338892,3.672,360,PA,DebtConsolidation,HR,< 1 year,$0-$50k,Current,0,Summit Mortgage,2026-08-03,2026-08-27,,OriginationSystem
LN-1064,BW-3064,FHA,2021-08-20,2051-08-20,120363,92450,6.929,360,FL,Purchase,A,1-3 years,$150k+,Late (30-59 days),30,Apex Servicing,2026-08-27,2026-08-27,,OriginationSystem
LN-1065,BW-3065,Fixed,2020-05-19,2035-05-19,364060,150000,7.164,180,MI,Purchase,A,< 1 year,$100k-$150k,Closed,6,Summit Mortgage,2026-08-03,2026-08-27,,OriginationSystem
LN-1066,BW-3066,VA,2020-10-13,2050-10-13,386317,323333,4.121,360,TX,Purchase,E,1-3 years,$0-$50k,Late (60-89 days),35,Apex Servicing,2026-07-31,2026-08-27,,OriginationSystem
LN-1067,BW-3067,VA,2023-03-06,2053-03-06,270133,155113,5.775,360,PA,DebtConsolidation,E,1-3 years,$0-$50k,Current,0,Summit Mortgage,2026-08-19,2026-08-27,,OriginationSystem
LN-1068,BW-3068,FHA,2022-12-13,2037-12-13,442092,441731,6.843,180,PA,Purchase,D,5+ years,$50k-$100k,Current,0,Apex Servicing,2026-08-20,2026-08-27,,OriginationSystem
LN-1069,BW-3069,VA,2022-02-04,2037-02-04,435227,223301,9.081,180,NY,Refinance,F,< 1 year,$50k-$100k,Grace Period,17,Summit Mortgage,2026-08-12,2026-08-27,,OriginationSystem
LN-1070,BW-3070,Fixed,2020-02-10,2050-02-10,497442,262054,4.003,360,TX,DebtConsolidation,HR,< 1 year,$0-$50k,Late (60-89 days),35,Apex Servicing,2026-08-26,2026-08-27,,OriginationSystem
LN-1071,BW-3071,ARM,2022-11-15,2052-11-15,345880,200549,7.691,360,NC,Refinance,A,3-5 years,$100k-$150k,Current,0,Summit Mortgage,2026-08-12,2026-08-27,,OriginationSystem
LN-1072,BW-3072,FHA,2022-06-02,2037-06-02,128087,86679,5.596,180,OH,DebtConsolidation,C,1-3 years,$0-$50k,Grace Period,27,Apex Servicing,2026-08-04,2026-08-27,,OriginationSystem
LN-1073,BW-3073,VA,2022-07-09,2052-07-09,261386,131492,4.671,360,PA,Purchase,E,< 1 year,$100k-$150k,Grace Period,26,Summit Mortgage,2026-08-04,2026-08-27,,OriginationSystem
LN-1074,BW-3074,VA,2023-08-20,2053-08-20,226413,199043,7.790,360,FL,DebtConsolidation,B,1-3 years,$150k+,Current,0,Apex Servicing,2026-07-31,2026-08-27,,OriginationSystem
LN-1075,BW-3075,FHA,2024-01-31,2054-01-31,472770,330182,5.056,360,TX,Purchase,C,< 1 year,$100k-$150k,Current,0,Summit Mortgage,2026-08-21,2026-08-27,,OriginationSystem
LN-1076,BW-3076,Fixed,2023-03-20,2053-03-20,273753,143860,5.305,360,PA,Refinance,B,3-5 years,$0-$50k,Late (30-59 days),41,Apex Servicing,2026-08-09,2026-08-27,,OriginationSystem
LN-1077,BW-3077,Fixed,2022-09-09,2052-09-09,198988,113417,7.717,360,PA,DebtConsolidation,B,1-3 years,$150k+,Late (60-89 days),20,Summit Mortgage,2026-08-01,2026-08-27,,OriginationSystem
LN-1078,BW-3078,ARM,2023-05-21,2053-05-21,499020,346031,8.494,360,TX,Refinance,F,< 1 year,$50k-$100k,Late (30-59 days),18,Apex Servicing,2026-08-08,2026-08-27,,OriginationSystem
LN-1079,BW-3079,FHA,2023-06-25,2038-06-25,114720,96302,6.136,180,IL,DebtConsolidation,F,< 1 year,$100k-$150k,Grace Period,29,Summit Mortgage,2026-08-26,2026-08-27,,OriginationSystem
LN-1080,BW-3080,VA,2024-10-14,2054-10-14,164672,130615,7.131,360,NY,Refinance,F,3-5 years,$0-$50k,Current,0,Apex Servicing,2026-08-17,2026-08-27,,OriginationSystem
LN-1081,BW-3081,ARM,2021-03-11,2051-03-11,121897,87176,4.372,360,FL,DebtConsolidation,E,1-3 years,$150k+,Grace Period,41,Summit Mortgage,2026-08-12,2026-08-27,,OriginationSystem
LN-1082,BW-3082,VA,2022-07-05,2052-07-05,471927,238498,6.957,360,TX,Refinance,E,3-5 years,$150k+,Late (60-89 days),38,Apex Servicing,2026-08-24,2026-08-27,,OriginationSystem
LN-1083,BW-3083,Fixed,2023-04-01,2053-04-01,125124,95504,8.246,360,FL,Refinance,E,3-5 years,$100k-$150k,Late (60-89 days),26,Summit Mortgage,2026-08-16,2026-08-27,,OriginationSystem
LN-1084,BW-3084,VA,2023-01-24,2053-01-24,140614,133350,8.355,360,PA,Purchase,HR,3-5 years,$0-$50k,Grace Period,1,Apex Servicing,2026-08-12,2026-08-27,,OriginationSystem
LN-1085,BW-3085,FHA,2022-03-02,2052-03-02,437586,313630,4.483,360,MI,Purchase,C,5+ years,$100k-$150k,Late (30-59 days),26,Summit Mortgage,2026-08-12,2026-08-27,,OriginationSystem
LN-1086,BW-3086,VA,2020-03-31,2050-03-31,195105,156976,5.115,360,PA,Refinance,F,< 1 year,$100k-$150k,Grace Period,41,Apex Servicing,2026-07-31,2026-08-27,,OriginationSystem
LN-1087,BW-3087,VA,2022-12-24,2052-12-24,274827,250627,5.290,360,NY,DebtConsolidation,F,3-5 years,$100k-$150k,Late (60-89 days),23,Summit Mortgage,2026-08-24,2026-08-27,,OriginationSystem
LN-1088,BW-3088,Fixed,2024-07-26,2039-07-26,433315,416006,6.708,180,NY,DebtConsolidation,B,3-5 years,$0-$50k,Late (30-59 days),40,Apex Servicing,2026-08-15,2026-08-27,,OriginationSystem
LN-1089,BW-3089,ARM,2023-10-03,2053-10-03,206583,206174,3.580,360,CA,Refinance,E,1-3 years,$150k+,Current,0,Summit Mortgage,2026-08-08,2026-08-27,,OriginationSystem
LN-1090,BW-3090,ARM,2021-10-14,2051-10-14,410310,334621,4.063,360,TX,Purchase,B,3-5 years,$0-$50k,Current,0,Apex Servicing,2026-08-05,2026-08-27,,OriginationSystem
LN-1091,BW-3091,VA,2020-08-09,2050-08-09,225144,189680,5.127,360,PA,Refinance,D,3-5 years,$100k-$150k,Current,0,Summit Mortgage,2026-08-14,2026-08-27,,OriginationSystem
LN-1092,BW-3092,VA,2021-05-23,2051-05-23,207988,164127,4.846,360,GA,DebtConsolidation,F,1-3 years,$150k+,Grace Period,25,Apex Servicing,2026-08-13,2026-08-27,,OriginationSystem
LN-1093,BW-3093,ARM,2020-01-14,2050-01-14,432750,370797,4.958,360,PA,Refinance,C,3-5 years,$50k-$100k,Late (60-89 days),4,Summit Mortgage,2026-08-03,2026-08-27,,OriginationSystem
LN-1094,BW-3094,VA,2020-12-27,2050-12-27,255374,131851,8.096,360,OH,Purchase,D,5+ years,$100k-$150k,Late (30-59 days),38,Apex Servicing,2026-08-03,2026-08-27,,OriginationSystem
LN-1095,BW-3095,ARM,2023-10-31,2053-10-31,244042,184289,3.611,360,NY,Purchase,HR,3-5 years,$50k-$100k,Current,0,Summit Mortgage,2026-08-07,2026-08-27,,OriginationSystem
LN-1096,BW-3096,FHA,2023-03-31,2053-03-31,466407,404709,4.714,360,MI,Refinance,C,1-3 years,$50k-$100k,Late (60-89 days),26,Apex Servicing,2026-08-21,2026-08-27,,OriginationSystem
LN-1097,BW-3097,FHA,2023-09-10,2053-09-10,328214,262678,3.765,360,NY,Refinance,F,< 1 year,$50k-$100k,Current,0,Summit Mortgage,2026-08-24,2026-08-27,,OriginationSystem
LN-1098,BW-3098,VA,2024-03-25,2054-03-25,473402,464810,7.842,360,MI,Refinance,HR,1-3 years,$100k-$150k,Late (30-59 days),21,Apex Servicing,2026-08-12,2026-08-27,,OriginationSystem
LN-1099,BW-3099,Fixed,2024-05-10,2054-05-10,465567,371091,5.741,360,FL,Refinance,A,5+ years,$150k+,Late (30-59 days),10,Summit Mortgage,2026-08-01,2026-08-27,,OriginationSystem
LN-1100,BW-3100,Fixed,2021-11-18,2051-11-18,450679,290136,8.406,360,IL,DebtConsolidation,F,< 1 year,$0-$50k,Late (30-59 days),13,Apex Servicing,2026-08-24,2026-08-27,,OriginationSystem
LN-1101,BW-3101,ARM,2024-05-12,2054-05-12,481257,293642,5.656,360,NY,DebtConsolidation,HR,< 1 year,$150k+,Late (60-89 days),42,Summit Mortgage,2026-08-17,2026-08-27,,OriginationSystem
LN-1102,BW-3102,ARM,2022-05-26,2052-05-26,324843,279958,5.051,360,IL,Purchase,C,3-5 years,$0-$50k,Current,0,Apex Servicing,2026-08-22,2026-08-27,,OriginationSystem
LN-1103,BW-3103,Fixed,2024-05-19,2054-05-19,154115,106969,6.982,360,PA,Purchase,C,< 1 year,$150k+,Current,0,Summit Mortgage,2026-08-01,2026-08-27,,OriginationSystem
LN-1104,BW-3104,Fixed,2022-03-21,2052-03-21,382602,360143,8.759,360,NC,Refinance,A,3-5 years,$50k-$100k,Late (60-89 days),37,Apex Servicing,2026-08-11,2026-08-27,,OriginationSystem
LN-1105,BW-3105,ARM,2024-05-14,2054-05-14,400434,216013,5.596,360,TX,Purchase,HR,5+ years,$150k+,Late (30-59 days),10,Summit Mortgage,2026-08-25,2026-08-27,,OriginationSystem
LN-1106,BW-3106,ARM,2024-01-05,2054-01-05,182966,127998,7.437,360,PA,DebtConsolidation,C,1-3 years,$100k-$150k,Current,0,Apex Servicing,2026-08-01,2026-08-27,,OriginationSystem
LN-1107,BW-3107,VA,2022-05-23,2037-05-23,423113,299400,8.770,180,TX,DebtConsolidation,A,1-3 years,$100k-$150k,Late (60-89 days),15,Summit Mortgage,2026-08-23,2026-08-27,,OriginationSystem
LN-1108,BW-3108,FHA,2020-02-11,2035-02-11,210957,154762,6.514,180,NC,Refinance,F,5+ years,$50k-$100k,Late (60-89 days),24,Apex Servicing,2026-08-23,2026-08-27,,OriginationSystem
LN-1109,BW-3109,VA,2023-05-16,2053-05-16,273299,234102,8.287,360,NY,Refinance,E,< 1 year,$50k-$100k,Late (60-89 days),36,Summit Mortgage,2026-08-15,2026-08-27,,OriginationSystem
LN-1110,BW-3110,FHA,2024-07-27,2054-07-27,313326,196361,5.267,360,OH,DebtConsolidation,D,3-5 years,$0-$50k,Late (30-59 days),33,Apex Servicing,2026-08-17,2026-08-27,,OriginationSystem
LN-1111,BW-3111,VA,2022-01-10,2052-01-10,396013,372802,7.579,360,GA,Purchase,A,3-5 years,$0-$50k,Late (60-89 days),12,Summit Mortgage,2026-08-08,2026-08-27,,OriginationSystem
LN-1112,BW-3112,VA,2020-04-13,2050-04-13,313404,284445,3.525,360,CA,Purchase,F,1-3 years,$100k-$150k,Late (30-59 days),25,Apex Servicing,2026-08-11,2026-08-27,,OriginationSystem
LN-1113,BW-3113,Fixed,2024-04-05,2039-04-05,259443,196592,7.494,180,OH,Refinance,D,5+ years,$50k-$100k,Current,0,Summit Mortgage,2026-08-03,2026-08-27,,OriginationSystem
LN-1114,BW-3114,VA,2022-01-09,2037-01-09,265526,226955,4.906,180,TX,Refinance,B,5+ years,$150k+,Grace Period,35,Apex Servicing,2026-08-19,2026-08-27,,OriginationSystem
LN-1115,BW-3115,FHA,2021-06-12,2051-06-12,325813,247505,5.105,360,FL,DebtConsolidation,B,5+ years,$0-$50k,Grace Period,40,Summit Mortgage,2026-07-31,2026-08-27,,OriginationSystem
LN-1116,BW-3116,VA,2022-08-10,2052-08-10,251588,223780,4.835,360,FL,Purchase,F,< 1 year,$0-$50k,Late (30-59 days),41,Apex Servicing,2026-08-13,2026-08-27,,OriginationSystem
LN-1117,BW-3117,Fixed,2020-11-15,2035-11-15,464383,395722,5.670,180,CA,Purchase,E,5+ years,$0-$50k,Current,0,Summit Mortgage,2026-08-17,2026-08-27,,OriginationSystem
LN-1118,BW-3118,VA,2020-10-18,2050-10-18,277588,266650,5.414,360,OH,Purchase,E,3-5 years,$0-$50k,Grace Period,29,Apex Servicing,2026-08-26,2026-08-27,,OriginationSystem
LN-1119,BW-3119,FHA,2022-11-12,2052-11-12,485691,283801,6.239,360,MI,Purchase,F,1-3 years,$150k+,Late (60-89 days),0,Summit Mortgage,2026-08-07,2026-08-27,,OriginationSystem
LN-1120,BW-3120,FHA,2020-02-17,2050-02-17,440751,404184,4.337,360,OH,DebtConsolidation,HR,3-5 years,$50k-$100k,Current,0,Apex Servicing,2026-08-10,2026-08-27,,OriginationSystem
LN-1121,BW-3121,VA,2024-09-02,2054-09-02,281688,191587,5.127,360,NY,Refinance,A,3-5 years,$100k-$150k,Current,0,Summit Mortgage,2026-08-24,2026-08-27,,OriginationSystem
LN-1122,BW-3122,FHA,2022-01-05,2052-01-05,245889,191530,6.654,360,TX,Purchase,B,1-3 years,$50k-$100k,Late (60-89 days),42,Apex Servicing,2026-08-20,2026-08-27,,OriginationSystem
LN-1123,BW-3123,Fixed,2024-05-10,2054-05-10,239009,166576,9.420,360,CA,DebtConsolidation,B,1-3 years,$150k+,Late (60-89 days),11,Summit Mortgage,2026-08-07,2026-08-27,,OriginationSystem
LN-1124,BW-3124,VA,2022-01-23,2052-01-23,433898,283591,5.229,360,NY,Purchase,E,5+ years,$0-$50k,Late (60-89 days),34,Apex Servicing,2026-08-02,2026-08-27,,OriginationSystem
LN-1125,BW-3125,VA,2024-11-27,2054-11-27,239811,211359,6.720,360,TX,Purchase,D,1-3 years,$50k-$100k,Late (30-59 days),13,Summit Mortgage,2026-08-12,2026-08-27,,OriginationSystem
LN-1126,BW-3126,ARM,2024-04-24,2054-04-24,256422,237209,5.663,360,CA,Refinance,F,< 1 year,$0-$50k,Current,0,Apex Servicing,2026-08-24,2026-08-27,,OriginationSystem
LN-1127,BW-3127,Fixed,2022-11-10,2052-11-10,359935,252653,5.051,360,NY,Refinance,F,1-3 years,$100k-$150k,Grace Period,37,Summit Mortgage,2026-08-16,2026-08-27,,OriginationSystem
LN-1128,BW-3128,VA,2020-04-12,2035-04-12,326177,253746,5.155,180,CA,Purchase,C,5+ years,$150k+,Late (30-59 days),38,Apex Servicing,2026-08-19,2026-08-27,,OriginationSystem
LN-1129,BW-3129,ARM,2020-01-22,2035-01-22,331669,213004,7.235,180,NC,Refinance,F,3-5 years,$150k+,Late (60-89 days),20,Summit Mortgage,2026-08-22,2026-08-27,,OriginationSystem
