loan_id,borrower_id,loan_type,origination_date,maturity_date,original_principal,current_balance,interest_rate,term_months,borrower_state,loan_purpose,credit_grade,employment_length,income_band,payment_status,days_past_due,servicer_name,last_payment_date,last_updated_at,document_status,source_system
LN-1700,BW-3700,FHA,2020-01-27,2050-01-27,496634,334804,8.504,360,IL,Refinance,B,1-3 years,$50k-$100k,Late (60-89 days),41,Apex Servicing,2026-08-25,2026-08-28,,ServicerPortal
LN-1750,BW-3750,FHA,2022-03-21,2052-03-21,359300,236014,8.620,360,MI,DebtConsolidation,F,1-3 years,$150k+,Late (60-89 days),13,Apex Servicing,2026-08-17,2026-08-28,,ServicerPortal
LN-1800,BW-3800,ARM,2021-01-17,2051-01-17,413560,326458,5.949,360,TX,DebtConsolidation,A,3-5 years,$0-$50k,Grace Period,21,Apex Servicing,2026-08-21,2026-08-28,,ServicerPortal
LN-1850,BW-3850,ARM,2021-10-25,2051-10-25,362299,302497,6.178,360,GA,DebtConsolidation,HR,1-3 years,$0-$50k,Late (30-59 days),32,Apex Servicing,2026-08-19,2026-08-28,,ServicerPortal
LN-1900,BW-3900,VA,2020-03-31,2050-03-31,155313,76978,5.985,360,IL,Purchase,E,5+ years,$0-$50k,Current,0,Apex Servicing,2026-08-14,2026-08-28,,ServicerPortal
LN-1950,BW-3950,FHA,2024-09-15,2054-09-15,490454,312355,4.366,360,OH,Refinance,A,5+ years,$150k+,Grace Period,6,Apex Servicing,2026-08-24,2026-08-28,,ServicerPortal
LN-2000,BW-4000,VA,2024-09-21,2039-09-21,247540,164814,6.001,180,NC,DebtConsolidation,E,1-3 years,$0-$50k,Late (60-89 days),20,Apex Servicing,2026-08-01,2026-08-28,,ServicerPortal
LN-2050,BW-4050,Fixed,2021-09-13,2036-09-13,206268,132743,3.765,180,NC,Refinance,E,1-3 years,$100k-$150k,Grace Period,33,Apex Servicing,2026-08-14,2026-08-28,,ServicerPortal
LN-2100,BW-4100,FHA,2024-06-04,2054-06-04,222439,128525,3.731,360,GA,DebtConsolidation,F,1-3 years,$100k-$150k,Late (30-59 days),8,Apex Servicing,2026-08-14,2026-08-28,,ServicerPortal
LN-2150,BW-4150,Fixed,2020-03-15,2050-03-15,283496,261756,3.565,360,PA,Purchase,HR,3-5 years,$150k+,Late (60-89 days),14,Apex Servicing,2026-08-05,2026-08-28,,ServicerPortal
LN-2200,BW-4200,Fixed,2021-03-07,2036-03-07,361628,203211,7.448,180,OH,Purchase,F,1-3 years,$50k-$100k,Late (30-59 days),21,Apex Servicing,2026-08-07,2026-08-28,,ServicerPortal
