loan_id,document_status
LN-1398,Complete
LN-1399,Complete
LN-1400,Complete
LN-1401,Complete
LN-1402,Complete
LN-1403,Complete
LN-1404,Complete
LN-1405,Complete
LN-1406,Complete
LN-1407,Complete
LN-1408,Complete
LN-1409,Complete
LN-1410,Complete
LN-1411,Complete
LN-1412,Complete
LN-1413,Complete
LN-1414,Complete
LN-1415,Complete
LN-1416,Missing_Note
LN-1417,Complete
LN-1418,Complete
LN-1419,Complete
LN-1420,Complete
LN-1421,Complete
LN-1422,Complete
LN-1423,Complete
LN-1424,Complete
LN-1425,Missing_Note
LN-1426,Complete
LN-1427,Complete
LN-1428,Complete
LN-1429,Complete
LN-1430,Complete
LN-1431,Missing_Note
LN-1432,Complete
LN-1433,Complete
LN-1434,Complete
LN-1435,Complete
LN-1436,Complete
LN-1437,Complete
LN-1438,Missing_Note
LN-1439,Complete
LN-1440,Complete
LN-1441,Complete
LN-1442,Complete
LN-1443,Complete
LN-1444,Complete
LN-1445,Complete
LN-1446,Complete
LN-1447,Complete
LN-1448,Complete
LN-1449,Complete
LN-1450,Complete
LN-1451,Complete
LN-1452,Complete
LN-1453,Complete
LN-1454,Complete
LN-1455,Complete
LN-1456,Complete
LN-1457,Complete
LN-1458,Complete
LN-1459,Complete
LN-1460,Complete
LN-1461,Complete
LN-1462,Complete
LN-1463,Complete
LN-1464,Complete
LN-1465,Complete
LN-1466,Complete
LN-1467,Missing_Note
LN-1468,Complete
LN-1469,Missing_Note
LN-1470,Complete
LN-1471,Complete
LN-1472,Complete
LN-1473,Complete
LN-1474,Complete
LN-1475,Complete
LN-1476,Complete
LN-1477,Complete
LN-1478,Complete
LN-1479,Complete
LN-1480,Complete
LN-1481,Missing_Note
LN-1482,Complete
LN-1483,Complete
LN-1484,Complete
LN-1485,Complete
LN-1486,Complete
LN-1487,Complete
LN-1488,Complete
LN-1489,Complete
LN-1490,Complete
LN-1491,Complete
LN-1492,Complete
LN-1493,Complete
LN-1494,Complete
LN-1495,Complete
LN-1496,Complete
LN-1497,Complete
LN-1498,Complete
LN-1499,Complete
LN-1500,Complete
LN-1501,Complete
LN-1502,Complete
LN-1503,Complete
LN-1504,Complete
LN-1505,Missing_Note
LN-1506,Complete
LN-1507,Complete
LN-1508,Missing_Note
LN-1509,Complete
LN-1510,Missing_Note
LN-1511,Complete
LN-1512,Complete
LN-1513,Complete
LN-1514,Complete
LN-1515,Complete
LN-1516,Missing_Note
LN-1517,Complete
LN-1518,Complete
LN-1519,Complete
LN-1520,Complete
LN-1521,Complete
LN-1522,Complete
LN-1523,Complete
LN-1524,Complete
LN-1525,Complete
LN-1526,Complete
LN-1527,Complete
LN-1528,Complete
LN-1529,Complete
LN-1530,Complete
LN-1531,Complete
LN-1532,Complete
LN-1533,Complete
LN-1534,Complete
LN-1535,Complete
LN-1536,Complete
LN-1537,Complete
LN-1538,Complete
LN-1539,Missing_Note
LN-1540,Complete
LN-1541,Complete
LN-1542,Complete
LN-1543,Complete
LN-1544,Complete
LN-1545,Complete
LN-1546,Complete
LN-1547,Complete
LN-1548,Complete
LN-1549,Missing_Note
LN-1550,Complete
LN-1551,Complete
LN-1552,Complete
LN-1553,Complete
LN-1554,Missing_Note
LN-1555,Complete
LN-1556,Complete
LN-1557,Complete
LN-1558,Complete
LN-1559,Missing_Note
LN-1560,Complete
LN-1561,Complete
LN-1562,Complete
LN-1563,Complete
LN-1564,Complete
LN-1565,Complete
LN-1566,Complete
LN-1567,Missing_Note
LN-1568,Complete
LN-1569,Complete
LN-1570,Complete
LN-1571,Complete
LN-1572,Complete
LN-1573,Missing_Note
LN-1574,Missing_Note
LN-1575,Complete
LN-1576,Complete
LN-1577,Complete
LN-1578,Complete
LN-1579,Complete
LN-1580,Complete
LN-1581,Complete
LN-1582,Complete
LN-1583,Complete
LN-1584,Complete
LN-1585,Missing_Note
LN-1586,Complete
LN-1587,Complete
LN-1588,Complete
LN-1589,Complete
LN-1590,Complete
LN-1591,Complete
LN-1592,Complete
LN-1593,Complete
LN-1594,Complete
LN-1595,Complete
LN-1596,Complete
LN-1597,Complete
LN-1598,Complete
LN-1599,Complete
LN-1600,Complete
LN-1601,Missing_Note
LN-1602,Complete
LN-1603,Complete
LN-1604,Missing_Note
LN-1605,Complete
LN-1606,Missing_Note
LN-1607,Complete
LN-1608,Complete
LN-1609,Complete
LN-1610,Complete
LN-1611,Complete
LN-1612,Missing_Note
LN-1613,Complete
LN-1614,Complete
LN-1615,Missing_Note
LN-1616,Complete
LN-1617,Missing_Note
LN-1618,Complete
LN-1619,Complete
LN-1620,Missing_Note
LN-1621,Complete
LN-1622,Complete
LN-1623,Complete
LN-1624,Complete
LN-1625,Missing_Note
LN-1626,Complete
LN-1627,Complete
LN-1628,Missing_Note
LN-1629,Complete
LN-1630,Complete
LN-1631,Complete
LN-1632,Complete
LN-1633,Complete
LN-1634,Complete
LN-1635,Complete
LN-1636,Missing_Note
LN-1637,Complete
LN-1638,Complete
LN-1639,Missing_Note
LN-1640,Complete
LN-1641,Complete
LN-1642,Complete
LN-1643,Complete
LN-1644,Complete
LN-1645,Complete
LN-1646,Complete
LN-1647,Complete
LN-1648,Complete
LN-1649,Missing_Note
LN-1650,Complete
LN-1651,Complete
LN-1652,Complete
LN-1653,Complete
LN-1654,Complete
LN-1655,Complete
LN-1656,Complete
LN-1657,Complete
LN-1658,Complete
LN-1659,Complete
LN-1660,Complete
LN-1661,Complete
LN-1662,Complete
LN-1663,Complete
LN-1664,Complete
LN-1665,Complete
LN-1666,Complete
LN-1667,Complete
LN-1668,Complete
LN-1669,Complete
LN-1670,Complete
LN-1671,Complete
LN-1672,Complete
LN-1673,Complete
LN-1674,Complete
LN-1675,Complete
LN-1676,Complete
LN-1677,Complete
LN-1678,Missing_Note
LN-1679,Missing_Note
LN-1680,Complete
LN-1681,Complete
LN-1682,Complete
LN-1683,Complete
LN-1684,Missing_Note
LN-1685,Complete
LN-1686,Complete
LN-1687,Complete
LN-1688,Complete
LN-1689,Complete
LN-1690,Complete
LN-1691,Complete
LN-1692,Complete
LN-1693,Complete
LN-1694,Complete
LN-1695,Complete
LN-1696,Complete
LN-1697,Complete
LN-1698,Complete
LN-1699,Complete
LN-1700,Missing_Note
LN-1701,Complete
LN-1702,Complete
LN-1703,Complete
LN-1704,Complete
LN-1705,Complete
LN-1706,Complete
LN-1707,Complete
LN-1708,Complete
LN-1709,Complete
LN-1710,Complete
LN-1711,Complete
LN-1712,Missing_Note
LN-1713,Complete
LN-1714,Complete
LN-1715,Complete
LN-1716,Complete
LN-1717,Complete
LN-1718,Missing_Note
LN-1719,Complete
LN-1720,Complete
LN-1721,Complete
LN-1722,Complete
LN-1723,Complete
LN-1724,Complete
LN-1725,Complete
LN-1726,Complete
LN-1727,Complete
LN-1728,Complete
LN-1729,Missing_Note
LN-1730,Complete
LN-1731,Complete
LN-1732,Complete
LN-1733,Complete
LN-1734,Complete
LN-1735,Complete
LN-1736,Complete
LN-1737,Complete
LN-1738,Complete
LN-1739,Complete
LN-1740,Complete
LN-1741,Complete
LN-1742,Complete
LN-1743,Missing_Note
LN-1744,Complete
LN-1745,Missing_Note
LN-1746,Complete
LN-1747,Complete
LN-1748,Missing_Note
LN-1749,Complete
LN-1750,Complete
LN-1751,Missing_Note
LN-1752,Complete
LN-1753,Missing_Note
LN-1754,Complete
LN-1755,Complete
LN-1756,Complete
LN-1757,Complete
LN-1758,Complete
LN-1759,Complete
LN-1760,Complete
LN-1761,Missing_Note
LN-1762,Complete
LN-1763,Complete
LN-1764,Complete
LN-1765,Complete
LN-1766,Missing_Note
LN-1767,Complete
LN-1768,Complete
LN-1769,Complete
LN-1770,Complete
LN-1771,Complete
LN-1772,Complete
LN-1773,Complete
LN-1774,Complete
LN-1775,Missing_Note
LN-1776,Complete
LN-1777,Missing_Note
LN-1778,Complete
LN-1779,Complete
LN-1780,Missing_Note
LN-1781,Complete
LN-1782,Missing_Note
LN-1783,Complete
LN-1784,Complete
LN-1785,Complete
LN-1786,Complete
LN-1787,Complete
LN-1788,Complete
LN-1789,Complete
LN-1790,Missing_Note
LN-1791,Complete
LN-1792,Complete
LN-1793,Complete
LN-1794,Complete
LN-1795,Complete
LN-1796,Complete
LN-1797,Complete
LN-1798,Complete
LN-1799,Complete
LN-1800,Complete
LN-1801,Complete
LN-1802,Complete
LN-1803,Complete
LN-1804,Complete
LN-1805,Complete
LN-1806,Complete
LN-1807,Complete
LN-1808,Complete
LN-1809,Complete
LN-1810,Complete
LN-1811,Complete
LN-1812,Complete
LN-1813,Complete
LN-1814,Complete
LN-1815,Complete
LN-1816,Complete
LN-1817,Complete
LN-1818,Complete
LN-1819,Complete
LN-1820,Complete
LN-1821,Complete
LN-1822,Complete
LN-1823,Missing_Note
LN-1824,Complete
LN-1825,Complete
LN-1826,Complete
LN-1827,Complete
LN-1828,Complete
LN-1829,Complete
LN-1830,Complete
LN-1831,Complete
LN-1832,Complete
LN-1833,Complete
LN-1834,Complete
LN-1835,Complete
LN-1836,Complete
LN-1837,Complete
LN-1838,Complete
LN-1839,Missing_Note
LN-1840,Complete
LN-1841,Complete
LN-1842,Complete
LN-1843,Complete
LN-1844,Complete
LN-1845,Complete
LN-1846,Missing_Note
LN-1847,Complete
LN-1848,Missing_Note
LN-1849,Missing_Note
LN-1850,Complete
LN-1851,Complete
LN-1852,Complete
LN-1853,Complete
LN-1854,Complete
LN-1855,Missing_Note
LN-1856,Complete
LN-1857,Complete
LN-1858,Complete
LN-1859,Complete
LN-1860,Complete
LN-1861,Complete
LN-1862,Complete
LN-1863,Missing_Note
LN-1864,Missing_Note
LN-1865,Complete
LN-1866,Complete
LN-1867,Complete
LN-1868,Complete
LN-1869,Missing_Note
LN-1870,Complete
LN-1871,Complete
LN-1872,Complete
LN-1873,Complete
LN-1874,Complete
LN-1875,Complete
LN-1876,Missing_Note
LN-1877,Complete
LN-1878,Complete
LN-1879,Complete
LN-1880,Complete
LN-1881,Complete
LN-1882,Complete
LN-1883,Complete
LN-1884,Complete
LN-1885,Complete
LN-1886,Complete
LN-1887,Complete
LN-1888,Complete
LN-1889,Complete
LN-1890,Complete
LN-1891,Missing_Note
LN-1892,Complete
LN-1893,Complete
LN-1894,Complete
LN-1895,Complete
LN-1896,Complete
LN-1897,Missing_Note
LN-1898,Complete
LN-1899,Missing_Note
LN-1900,Complete
LN-1901,Complete
LN-1902,Complete
LN-1903,Missing_Note
LN-1904,Complete
LN-1905,Complete
LN-1906,Complete
LN-1907,Complete
LN-1908,Complete
LN-1909,Complete
LN-1910,Complete
LN-1911,Missing_Note
LN-1912,Complete
LN-1913,Missing_Note
LN-1914,Complete
LN-1915,Complete
LN-1916,Complete
LN-1917,Complete
LN-1918,Complete
LN-1919,Complete
LN-1920,Missing_Note
LN-1921,Complete
LN-1922,Complete
LN-1923,Complete
LN-1924,Complete
LN-1925,Complete
LN-1926,Complete
LN-1927,Complete
LN-1928,Complete
LN-1929,Complete
LN-1930,Missing_Note
LN-1931,Complete
LN-1932,Complete
LN-1933,Complete
LN-1934,Complete
LN-1935,Complete
LN-1936,Missing_Note
LN-1937,Complete
LN-1938,Complete
LN-1939,Complete
LN-1940,Complete
LN-1941,Complete
LN-1942,Complete
LN-1943,Complete
LN-1944,Complete
LN-1945,Complete
LN-1946,Complete
LN-1947,Complete
LN-1948,Complete
LN-1949,Complete
LN-1950,Complete
LN-1951,Complete
LN-1952,Complete
LN-1953,Complete
LN-1954,Complete
LN-1955,Complete
LN-1956,Complete
LN-1957,Complete
LN-1958,Complete
LN-1959,Complete
LN-1960,Complete
LN-1961,Complete
LN-1962,Complete
LN-1963,Complete
LN-1964,Missing_Note
LN-1965,Complete
LN-1966,Complete
LN-1967,Complete
LN-1968,Complete
LN-1969,Complete
LN-1970,Complete
LN-1971,Complete
LN-1972,Complete
LN-1973,Complete
LN-1974,Complete
LN-1975,Missing_Note
LN-1976,Complete
LN-1977,Complete
LN-1978,Complete
LN-1979,Complete
LN-1980,Complete
LN-1981,Complete
LN-1982,Complete
LN-1983,Complete
LN-1984,Complete
LN-1985,Complete
LN-1986,Complete
LN-1987,Complete
LN-1988,Missing_Note
LN-1989,Complete
LN-1990,Missing_Note
LN-1991,Complete
LN-1992,Complete
LN-1993,Complete
LN-1994,Missing_Note
LN-1995,Missing_Note
LN-1996,Missing_Note
LN-1997,Complete
LN-1998,Complete
LN-1999,Missing_Note
LN-2000,Complete
LN-2001,Complete
LN-2002,Complete
LN-2003,Complete
LN-2004,Complete
LN-2005,Complete
LN-2006,Complete
LN-2007,Complete
LN-2008,Complete
LN-2009,Complete
LN-2010,Missing_Note
LN-2011,Complete
LN-2012,Complete
LN-2013,Complete
LN-2014,Complete
LN-2015,Complete
LN-2016,Complete
LN-2017,Complete
LN-2018,Complete
LN-2019,Complete
LN-2020,Complete
LN-2021,Complete
LN-2022,Complete
LN-2023,Complete
LN-2024,Complete
LN-2025,Complete
LN-2026,Complete
LN-2027,Complete
LN-2028,Missing_Note
LN-2029,Complete
LN-2030,Missing_Note
LN-2031,Complete
LN-2032,Complete
LN-2033,Complete
LN-2034,Complete
LN-2035,Complete
LN-2036,Complete
LN-2037,Complete
LN-2038,Complete
LN-2039,Missing_Note
LN-2040,Complete
LN-2041,Missing_Note
LN-2042,Complete
LN-2043,Complete
LN-2044,Complete
LN-2045,Complete
LN-2046,Complete
LN-2047,Complete
LN-2048,Complete
LN-2049,Complete
LN-2050,Complete
LN-2051,Complete
LN-2052,Missing_Note
LN-2053,Complete
LN-2054,Complete
LN-2055,Complete
LN-2056,Complete
LN-2057,Complete
LN-2058,Missing_Note
LN-2059,Complete
LN-2060,Complete
LN-2061,Complete
LN-2062,Missing_Note
LN-2063,Complete
LN-2064,Complete
LN-2065,Complete
LN-2066,Complete
LN-2067,Complete
LN-2068,Complete
LN-2069,Complete
LN-2070,Complete
LN-2071,Missing_Note
LN-2072,Complete
LN-2073,Complete
LN-2074,Complete
LN-2075,Complete
LN-2076,Complete
LN-2077,Complete
LN-2078,Complete
LN-2079,Complete
LN-2080,Complete
LN-2081,Complete
LN-2082,Complete
LN-2083,Complete
LN-2084,Complete
LN-2085,Missing_Note
LN-2086,Complete
LN-2087,Complete
LN-2088,Complete
LN-2089,Complete
LN-2090,Complete
LN-2091,Complete
LN-2092,Complete
LN-2093,Missing_Note
LN-2094,Complete
LN-2095,Complete
LN-2096,Complete
LN-2097,Missing_Note
LN-2098,Missing_Note
LN-2099,Complete
LN-2100,Missing_Note
LN-2101,Complete
LN-2102,Complete
LN-2103,Complete
LN-2104,Complete
LN-2105,Complete
LN-2106,Complete
LN-2107,Complete
LN-2108,Complete
LN-2109,Complete
LN-2110,Complete
LN-2111,Complete
LN-2112,Complete
LN-2113,Complete
LN-2114,Missing_Note
LN-2115,Complete
LN-2116,Complete
LN-2117,Complete
LN-2118,Missing_Note
LN-2119,Missing_Note
LN-2120,Complete
LN-2121,Missing_Note
LN-2122,Complete
LN-2123,Complete
LN-2124,Missing_Note
LN-2125,Complete
LN-2126,Complete
LN-2127,Complete
LN-2128,Complete
LN-2129,Complete
LN-2130,Missing_Note
LN-2131,Complete
LN-2132,Complete
LN-2133,Complete
LN-2134,Complete
LN-2135,Complete
LN-2136,Complete
LN-2137,Complete
LN-2138,Complete
LN-2139,Complete
LN-2140,Complete
LN-2141,Complete
LN-2142,Complete
LN-2143,Complete
LN-2144,Complete
LN-2145,Complete
LN-2146,Complete
LN-2147,Missing_Note
LN-2148,Complete
LN-2149,Complete
LN-2150,Complete
LN-2151,Complete
LN-2152,Missing_Note
LN-2153,Complete
LN-2154,Complete
LN-2155,Complete
LN-2156,Complete
LN-2157,Complete
LN-2158,Complete
LN-2159,Missing_Note
LN-2160,Complete
LN-2161,Complete
LN-2162,Complete
LN-2163,Complete
LN-2164,Complete
LN-2165,Complete
LN-2166,Complete
LN-2167,Complete
LN-2168,Complete
LN-2169,Complete
LN-2170,Missing_Note
LN-2171,Complete
LN-2172,Complete
LN-2173,Complete
LN-2174,Complete
LN-2175,Complete
LN-2176,Complete
LN-2177,Complete
LN-2178,Complete
LN-2179,Complete
LN-2180,Complete
LN-2181,Complete
LN-2182,Complete
LN-2183,Complete
LN-2184,Complete
LN-2185,Complete
LN-2186,Complete
LN-2187,Complete
LN-2188,Complete
LN-2189,Complete
LN-2190,Complete
LN-2191,Complete
LN-2192,Complete
LN-2193,Complete
LN-2194,Complete
LN-2195,Complete
LN-2196,Complete
LN-2197,Complete
LN-2198,Complete
LN-2199,Complete
LN-2200,Complete
